id,Title,Link,Raw_Text,Company,Found_Skills
1,ІТ стажер Центру супроводження корпоративної мережі та телефонії,https://jobs.dou.ua/companies/ukrsibbank/vacancies/353659/?from=list_hot,"
ПРО НАСUKRSIBBANK BNP Paribas Group — один з найбільших універсальних банків України. Ми об’єднуємо досвід та креативність у своїй команді, створюючи відкрите та інклюзивне середовище для розвитку кожного працівника.Наші цінності — це відданість, інновації та відкритість, які допомагають нам досягати успіху в сфері банкінгу та робити позитивний вплив на суспільство.Ми дякуємо нашим захисникам та захисницям, які віддано боронять свободу та незалежність України, та створюємо сприятливе середовище для роботи в банку.З 2020 року UKRSIBBANK BNP Paribas Group проходить сертифікацію кращого роботодавця в Україні та Європі — Top Employer. Це єдиний банк в Україні, який має міжнародну сертифікацію Top Employers Institute.Ми в пошуку молодшого фахівця в Групу супроводження телефонії та засобів зв’язкуЯкщо ви приєднаєтесь до нас, ви будете займатись:Здійснювати належне адміністрування, експлуатацію, обслуговування комплектів обладнання Teams Rooms Банку для проведення відео- конференцій, відповідно до інструкцій з експлуатації;Надавати консультації співробітникам підрозділів Банку, щодо роботи та налаштування обладнання відео-конференцій Teams Rooms;Виконувати оперативний моніторинг функціонування обладнання відео-конференцій Teams Rooms Банку;Своєчасно надавати інформацію безпосередньому керівнику про проблеми в роботі обладнання відео-конференцій Teams Rooms, інформує про заходи, які необхідні для усунення проблем.Ми в пошуку в фахівця, який має:Повна вища технічна освітаЗнання англійської мови на рівні (спілкування, читання технічної документації) Просунутий користувач ПК (розуміння роботи ОС Windows, підключення периферії)Розуміння загальних принципів роботи мережі передачі данихРозуміння основ роботи систем відео зв’язку для проведення конференційОкрім команди однодумців та цікавої роботи ви отримаєте:Стабільність:Працевлаштування з дотриманням вимог чинного законодавства Українисвоєчасна виплата заробітної платитермін — 18 місяцівпрограми медичного страхування та страхування життя25 днів щорічної відпустки, додаткові дні відпочинку на пам’ятні події, соціальні відпустки у відповідності до законодавства Українищорічні перегляди заробітної плати відповідно до персональної ефективності та фінансових показників банкувстановлення строку випробування відповідно до вимог чинного законодавстваРозвиток своїх талантів заради кар’єри:можливість навчання: Школа лідера, Сервіс дизайну, Бізнес аналітики, Data, Digital, Agile та програму розвитку талантів I-Players та широкий набір мікро-тренінгів (SQL, BI, EQ, тощо).можливість брати участь у програмі внутрішньої та міжнародної мобільності до BNP Paribas Groupпідтримку працівників постійно навчатись та професійно розвиватись. Щороку наші працівники складають індивідуальний план розвитку разом з керівником чи ментором і впевнено рухаються до метиКраще місце для роботи:Робота з періодичною можливістю працювати дистанційно (для вакансій з дистанційним форматом роботи)програму «War&Life balance: як повернути життя в життя» — це практичні воркшопи з фахівцями для підтримки емоційного станув рамках програми «New Ways of Working» дайджест з порадами від експертів щодо підтримки фізичного та ментального здоров’ярізноманітність, інклюзивністьзалучення до проєктів сталого розвитку та корпоративно-соціальної відповідальностіБажаєш дізнатися більше? Додаткова інформація може бути надана на наступних етапах розгляду вакансії.#veteranfriendly
",UKRSIBTECH,"SQL,Git,English,Degree"
2,Trainee/Junior Marketing Manager: запрошуємо на expla job fast track,https://jobs.dou.ua/companies/expla/vacancies/357214/?from=list_hot,"
Стань маркетологом у компанії, яка працює з Tier-1 ринками та масштабує продукти на весь світ ⚡️expla запускає job fast track — онлайн-проєкт для тих, хто хоче зайти в маркетинг, прокачати розуміння performance та creative і отримати шанс на офер.Що буде?💥 виступи про creative та performance marketing💥 маркетинг-гра на практичне мислення💥 можливість отримати офер в expla💥 $1000 винагороди для найкращого учасникаКоли: 11 червняФормат: онлайнДля кого ця можлівсть:🟢 маркетологів з досвідом роботи від 1 року🟢 світчерів із Big4, FMCG, фінансів чи банкінгу🟢 студентів 3-4 курсів, які хочуть стартувати в маркетингуРеєструйся на сайті за посиланням.
",expla,not found
3,Customer Support Specialist,https://jobs.dou.ua/companies/health-joy/vacancies/328358/?from=list_hot,"
*Повністю віддалена робота з України. Кандидат має проживати в Україні.Приходь за місією, залишайся заради досвіду.Якщо коротко та просто, то ми талановита, працьовита та завзята команда. Місія — те що запалює та надихає нас, допомагаючи величезній кількості наших користувачів з США, ми спрощуємо доступ до медичного обслуговування та до страхових послуг для наших клієнтів.Ми усуваємо складність користування медичними послугами в США. Наше технологічне рішення змінює галузь і дає користувачам спрощений досвід отримання доступу до найнеобхідніших послуг сфери охорони здоров’я, заощаджуючи час і гроші користувачів нашої платформи.Твій вплив:Як Healthcare Concierge (Customer Support Specialist) ти будеш опрацьовувати запити клієнтів (тікети). Нашим вищим пріоритетом є надання якісного сервісу, повне інформування клієнтів про переваги доступних сервісів та найкращі способи використання їхніх бенефітів в найкоротші терміни. Це включає в себе: Обробку звернень від користувачів щодо консультацій і допомоги у доступі до медичних послуг — пошук лікарів, клінік та інших медичних закладів, які найточніше відповідають потребам клієнтів.Взаємодія з клієнтами у чаті та по телефону для надання допомоги й підтримки у виборі належного рівня догляду. Це може включати вихідні дзвінки клієнтам та/або лікарям для допомоги з призначенням візитів, вирішення інших запитів.Співпрацю зі своєю командою, адміністративним або клінічним персоналом медичних закладів задля визначення найкращих варіантів підтримки наших клієнтів.Надання WOW-досвіду і турботи нашим користувачам у США.Твій досвід та навички:Володіння англійською мовою (Upper-Intermediate+);Сильні навички критичного мислення (здатність ставити запитання, аналізувати інформацію, знаходити рішення);Добре розвинуті комунікаційні навички (вміння ефективно використовувати внутрішні та зовнішні канали)Високий рівень емпатії у щоденних взаємодіях із клієнтами та колегами;Відповідальність (дотримання зобов’язань, своєчасне виконання роботи);Здатність пристосовуватися до частих змін;Вміння ефективно працювати як самостійно, так і в команді;Володіння Office Suite та Google Programs.Досвід у Customer Support/Customer Service буде плюсом;Деталі ролі:Графік роботи 5/2 — пн-пт: 15:30 — 24:00;20 оплачуваних днів відпустки протягом 12 місяців, та оплачувані лікарняні.Benefit пакет:Робота повинна бути значущою та приносити користь. HealthJoy пропонує надійний пакет бенефітів, включаючи:Формат працевлаштування:HealthJoy LLC є частиною правового режиму Дія City в Україні. З першого робочого дня ми підписуємо Гіг-контракт через систему Вчасно, надавши тобі статусу Гіг-спеціаліста.Конкурентна винагорода: Базова винагорода Гіг-спеціаліста (вказана у gross), яка зростає разом із твоїм розвитком у HealthJoy — протягом 1,5 року ти можеш збільшити її майже вдвічі. Найкращі працівники також отримують бонуси, розмір яких залежить від індивідуальних KPI. Кар’єрний розвиток: Ти матимеш шанс пройти кар’єрний шлях від Junior до Expert Specialist, і зрештою вирости до Team Leader. Крім того є можливості горизонтально розвитку та перейти у суміжні команди на посаду Learning & Development Trainer, Quality Assurance Analyst або Process Analyst.Охорона здоров’я:Як компанія, орієнтована на охорону здоров’я, ми надаємо 100% покриття медичного страхування для працівників, а також можливість застрахувати рідних за зниженими тарифами.Освіта: Ми пропонуємо заняття з англійської мови, доступ до корпоративної навчальної платформи «Udemy» для професійного розвитку, та внутрішні й зовнішні освітні заходи для наших співробітників. Наш відділ навчання та розвитку надає широкі знання про американську систему охорони здоров’я та культурні особливості.Програма підтримки ментального здоров’я:Кожному співробітнику доступна персональна терапія з психологом/психотерапевтом чи психіатром, а також додаткові віртуальні лекції про психічне здоров’я.Корпоративні заходи:Щоб залишатися на зв’язку з командою, ми проводимо happy hours, тімбілдінги, а також освітні та розважальні заходи.Спортзал:Доступ до корпоративних знижок та спеціальних пропозицій у Sport Life, одному з найбільших спортивних центрів України.Віддалена робота: Ми надаємо необхідне базове обладнання для комфортної роботи з дому (або з будь-якого місця!).Зобов’язання щодо рівної оплатиУ HealthJoy ми прагнемо створити різноманітне та інклюзивне робоче місце, де кожен має можливість досягти успіху та процвітати. Усі кваліфіковані кандидати отримають гідну винагороду за працевлаштування незалежно від раси, кольору шкіри, релігії, статі, гендерної ідентичності чи самовираження, сексуальної орієнтації, національного походження, генетики, інвалідності, віку чи будь-якої іншої підстави, забороненої федеральним, державним або місцевим законодавством.
",HealthJoy,"English,Degree"
4,Intern/Junior Unreal Engine Developer,https://jobs.dou.ua/companies/alphanova/vacancies/338703/?from=first-job,"
GameDev — це про майбутнє, і ми в AlphaNova працюємо саме над ним.Ми створюємо ігрові проєкти на Unreal Engine та шукаємо Junior-розробника, який хоче рости в геймдеві, вчитись на реальних задачах і працювати в команді, що живе іграми.Обов’язки:Долучатись до розробки ігор на Unreal Engine;Допомагати у впровадженні нових ігрових механік та функцій;Тестувати, знаходити та фіксити баги;Працювати разом з дизайнерами та розробниками над ідеями;Брати участь у командних обговореннях і брейнштормах.Вимоги:Базові знання Unreal Engine та C++;Комерційний досвід від 6 місяців або впевнені пет-проєкти;Англійська на рівні Intermediate або вище;Бажання розвиватись у GameDev;Уважність, відповідальність і вміння працювати в команді.Буде плюсом:Досвід роботи з 2D або 3D графікою.Знання інших мов програмування.Наявність пет-проєктів та змога їх продемонструвати.Для проходження першого етапу потрібно перейти за посиланням, та заповнити гугл форму.В формі суто загальні питання.Посилання на форму: лінк (клікабельно)У разі позитивного фідбеку, після відправки форми, ми з Вами звʼяжемось стосовно наступних етапів.
",AlphaNova,English
5,Sales Manager (eHopper),https://jobs.dou.ua/companies/ehopper/vacancies/173496/?from=first-job,"
Sales Manager About the Company and Project:eHopper Services Inc is an international company headquartered in New York, USA, and offices in Kyiv. We are a product and customer-oriented company building various business management products including Point of Sale, eCommerce, Inventory Management, and more.We are looking for a Sales Manager to join our team.ehopper.comRequirements:Excellent spoken and written English (B2/C1);1 + years of experience in the sales area;Proactive approach;Willingness to learn new skills and apply at your job;Ability to work with a team;Hot/Cold leads callingWorking scheduling 9 am-6 pm EST Time (Monday- Friday).Excellent communication skills;Strong account management skills.Would be a plus: Sales experience (communication skills over the phone, chat, and email);Prior experience in retail or restaurants;Interest in IT products and technology;Experience with CRM (Zoho preferable).Compensation & Benefits:Work in successful U.S. IT company with international team;Participation in challenging project that is famous and successful in the U.S. market;Competitive salary;Paid vacation and sick leave;Health insurance;Friendly atmosphere and corporate events.Responsibilities:Generating and contacting sales leads;Up sales activities during communication with prospects and current customers;Keep track of potential customers;Sales Prospect reach outs;Providing information about ongoing Promos;Providing online training and demos to Existing and New Customers;Assistance with Hardware or Software purchases;Accurate reports on activities and results;Cold calls reach outs/follow-up calls with a purpose to make a sale.
",eHopper,not found
6,Project Coordinator,https://jobs.dou.ua/companies/come-back-agency/vacancies/360603/?from=first-job,"
Come Back Agency supports US software and technology companies by running their hiring process. We work with delivery and leadership teams to define roles, screen candidates, and manage interviews. Successful candidates are hired directly by the company and become part of its team.Employer information: This position is with a US-based software company providing custom development and AI implementation for North American clients. The team builds and maintains production software, including AI-enabled systems, and works in long-term client engagements. Team members operate as part of an internal, distributed team and collaborate directly with client stakeholders.About the role: We are looking for a Project Coordinator to manage client communication on Upwork and keep all active deals organized and moving forward. This is a detail-oriented role focused on structured communication, CRM hygiene, and timely follow-ups. The work is fully remote, with hours aligned to US time zones.What you will do:Monitor Upwork daily and respond to all incoming client messages promptlyAdd new contacts and update deal statuses in the CRM consistentlyWrite follow-ups for ongoing conversations and ensure no client goes without a timely responseKeep communication organized and structured across multiple parallel dialoguesHand off clients with offers to project managersPrepare client-facing documentation such as Scope of Work and supporting materialsWhat we are looking for:At least 3 months of experience in a communication-heavy role such as sales, lead generation, customer support, or similarIntermediate English or higher — you are comfortable reading and writing professional messages in EnglishStrong written communication skills — clear, professional, and to the pointHighly organized — you keep the CRM clean and nothing falls through the cracksAble to manage many parallel conversations without losing trackSelf-driven — you follow through on tasks without remindersNice to have:Experience working on Upwork or similar platformsBasic understanding of software development processesExperience with CRM systemsHiring stages: Recruiter screening — Second interview — Final culture fit interviewWhat We Offer:Working hours aligned with US time zones, typically 16:00-00:00 Kyiv timeEnglish lessons to support clear and confident communicationPaid vacation and sick daysFully remote workOpportunities for professional growth within the teamStructured, personalized onboarding to help you ramp up effectivelyApply with your resume and a short note outlining your relevant experience. You can also send your resume directly using Telegram (@cba_yuliaivanova) or submit it through our website at comeback.ua. Selected candidates will be contacted by the Come Back Agency.
",Come Back Agency,English
7,Digital Marketing Trainee | Laba Group,https://jobs.dou.ua/companies/laba/vacancies/300900/?from=first-job,"
Laba Group створює освіту майбутнього тут і зараз. Ми запускаємо курси, які змінюють карʼєру, бізнес та життя. Понад 700 колег працюють на 8 ринках та розвивають 5 освітніх проєктів. За 9 років ми запустили 1500+ продуктів та навчили 180 000+ студентів на глобальному ринку. А також створили бренди онлайн-освіти:Laba — школа професійного розвиткуSkvot — школа популярної культуриrobot_dreams — школа для зростання в ІТVocabulaba — школа англійської для професійelvtr — онлайн-школа в США та Сполученому КоролівствіМи змінюємо правила гри в онлайн-освіті та прагнемо стати першою компанією зі статусом EdTech Unicorn. Наш продукт — реальний інструмент для досягнення результатів «тут і зараз». Щоб й надалі стрімко зростати, шукаємо Digital Marketing Trainee до Global маркетинг департаменту. Ми готові інвестувати в тебе: навчити запускати рекламні кампанії, дати підтримку тімліда та всі необхідні інструменти для крутого результату, можливість зростати — у Senior Marketing Manager / Web Analyst або інший напрям, прокачувати свої навички та впливати на результат усього відділу.Чому ця вакансія — це 🔥?Маємо тримісячну комплексну програму навчання, яка перетворить тебе на класного маркетолога. Детальніше про неї, можеш прочитати тут 👉 читати статтю.Використовуємо сучасні інструменти та найкращі практики.Працюватимеш у глобальній команді маркетингу, обмінюватимешся досвідом із колегами з різних країн Європи.Можливість у майбутньому працювати з різними джерелами трафіку, й навіть керувати власною командою. 83% керівників побудували свою кар’єру всередині компанії.Так, у нас швидкий темп роботи, але з нами твоє зростання буде стрімким.Які завдання на тебе чекають:налаштовувати рекламні кампанії в Facebook Ads/Google Ads;брати участь в зустрічах, імпрувити процеси, які можуть покращити результати маркетинг активностей;складати маркетингові звіти;комунікувати з продюсерами курсів, копірайтерами та дизайнерами, давати їм фідбек щодо якості рекламних кампаній;відправляти Email-розсилки;проводити A/B-тестування. Skill pack для якісного виконання завдань:свідоме бажання розвиватися у сфері маркетингу;володієш англійською на рівні B2+;аналітичний склад розуму та досвід роботи з таблицями;пропонуєш нестандартні ідеї, знаходиш рішення та несеш за них відповідальність;на «ти» з мультизадачністю.Буде перевагою:досвід роботи з Facebook Ads/Google Ads;розуміння маркетинг метрик (CPM, CTR, CPC, ROI, ROAS, CAC та ін.).Бенефіти Laba Group:Графік роботи — фуллтайм, адаптуєш його під себе. Виконуй поставлені завдання вчасно та не доводь дедлайни до кипіння.Формат також за тобою: офіси в Києві/Варшаві/Будапешті/Празі/Стамбулі/Бухаресті або ж домашній люкс з особистим дрес-кодом. Обирай до своїх робочих вподобань.Натхнення та мотивація робочої атмосфери. Бо як не крути, настрій команди впливає на генерацію крутих ідей та бажання сідати за роботу.Нам важливо, щоб крім тасків ти пам’ятав(-ла) про важливість самопочуття. Підтримаємо тебе компенсаціями (50%) на збереження фізичного здоров’я та менталочки, заняття спортом/йогою.Ми цінуємо якісний розвиток, тому надаємо співробітниками вільний доступ до всіх курсів Laba Group. Обирай напрям, що цікавить, та досягай нових вершин разом із нами.Безлімітна відпустка після 6 місяців роботи з нами. Визначаєш за власними потребами та коригуєш залежно від інтенсивності навантаженняРесурси, насичені різнопланові проєкти, міжнародні колаби — наповнимо освіту крутими та актуальними знаннями разом.Після року роботи зможеш купити ноут і отримати компенсацію 50% від його вартості.Команда для нас — не лише люди, з якими ми проводимо 5 днів на тиждень. Тому в корпоративному флоу є свята, лекції, розіграші, збори, ярмарки й інші активності. Наше життя не обмежується офісом і завданнями.Наш процес рекрутингу прозорий і чіткий: інтерв’ю з рекрутером -> асесмент -> співбесіда з тімлідом -> зустріч з Head of Performance Marketing. Після — оффер у тебе на пошті.Тепер ти знаєш про нас більше.А ми хочемо дізнатися більше про тебе: залишай відгук — і го розвивати EdTech разом🚀
",Laba Group,Git
8,Receptionist,https://jobs.dou.ua/companies/kpmg/vacancies/360556/?from=first-job,"
KPMG* — міжнародна мережа незалежних фірм, що надають аудиторські, податкові та консультаційні послуги. Познайомитися з KPMG в Україні детальніше можна за посиланням.KPMG в Україні входить до переліку 50 найкращих роботодавців за версією Forbes (2023-2024 роки) та до переліку 5 найкращих роботодавців для молоді у сфері аудиту та консалтингу за версією опитування серед студентів проведеного бренд агенцією UGEN у 2023 — 2024 роках. В березні 2025 року KPMG в Україні приєдналася до когорти компаній-лідерів, які першими підписали Принципи бізнесу, дружнього до ветеранів і ветеранок. Також, нас включено до переліку платників податків з високим рівнем добровільного дотримання податкового законодавства (так званого «Білого клубу»).KPMG в Україні шукає співробітника на посаду РецепціоністаЧому варто до нас приєднатися? Бо ми пропонуємо:Роботу в командах, що створюють сенси;Доступ до внутрішнього та зовнішнього навчання, що сприяє розвитку професійних навичок;Участь у національних проєктах відбудови країни;Сервіс психологічної підтримки (збільшена кількість консультацій для мобілізованих, ветеранів та тих, хто чекає);Медичне страхування (розширена опція страхування для ветеранів);29 календарних днів відпустки;5 додаткових оплачуваних днів турботи про своє здоров’я;Вебінари добробуту, заняття з йоги, книжковий клуб, жіноча спільнота та спільнота донорів крові;Благодійну діяльність та волонтерство, допомогу вразливим групам, турботу про тварин та зелений офіс;Офіційна заробітна плата з відрахуванням податків;Цікаві виклики та прозорі умови зростання;Донати та внесок в перемогу.Якими будуть ваші обов’язки?Ваша основна мета — забезпечити професійний та привітний перший контакт для гостей і співробітників компанії, організовувати зустрічі відвідувачів, бронювати переговорні кімнати, обробляти телефонні дзвінки, отримувати та обробляти кореспонденцію, здійснювати поштові розсилки, виконувати базові секретарські завдання.Кандидати на цю посаду повинні відповідати таким вимогам:вища освіта, або навчання на останньому курсі, готовність працювати на повну зайнятістьпопередній досвід роботи на аналогічній посаді (або бажання вчитися!);англійська мова (не нижче Upper-Intermediate), українська мова (письмова та усна);вміння працювати в команді;комунікабельність;уважність до деталей;KPMG в Україні створює робоче середовище, де кожен має можливості для розвитку та побудови кар’єри: компанія дотримується принципу нульової толерантності до будь-яких проявів дискримінації за ознаками віку, статі, сексуальної орієнтації чи інвалідності. Ми поважаємо різноманіття думок і досвіду, адже переконані — працюючи разом, люди з різними знаннями та поглядами генерують більше креативних ідей, знаходять кращі рішення та розробляють інноваційні продукти. Прийняти Job Offer — означає приєднатися до розмаїтої команди KPMG в Україні, проявляти свою індивідуальність і реалізовувати свій потенціал.
",KPMG в Україні,"English,Degree"
9,Summer Creative Bootcamp,https://jobs.dou.ua/companies/welltech/vacancies/360508/?from=first-job,"
Привіт! 👋Хочеш створювати креативи, які набирають мільйони переглядів і драйвлять ріст продуктів із 25M+ юзерів по всьому світу? Тоді тобі до нас!Ми у Welltech запускаємо 5-тижневий Summer Creative Bootcamp.ТОП-учасники матимуть можливість стати частиною Welltech (саме так, без 1+ years of experience required).Таймлайн: Закриття реєстрації — 19 червняСтарт буткемпу — 22 червняФормат: Онлайн для всіх (можливість долучитися офлайн у Києві)Мова: Навчання відбувається виключно українською
Про Summer Creative Bootcamp:За 5 тижнів в рамках Summer Creative Bootcamp в тебе буде можливість побачити зсередини як працює команда Welltech, освоїти не лише теоретичну базу, але й отримати практичний досвід у командному середовищі.Після буткемпу у тебе буде портфоліо, з матеріалами production-рівня, які пройшли рев’ю та варті уваги роботодавця, та сертифікати після успішного проходження кожного з етапів буткемпу, які ти зможеш додати до свого CV та поділитися ними в мережі LinkedIn.Кого ми шукаємо:▪️Випускників/-ниць та junior-спеціалістів, які хочуть стартувати в performance marketing▪️Тих, хто переходить у креатив із PR, дизайну, аналітики чи product/SMM▪️Junior-маркетологів, які хочуть побачити, як працює маркетинг в середині глобальної компанії▪️Усіх, хто любить learning by doing Немає досвіду? Не проблема.Попередній досвід у маркетингу не є обов’язковим. Для нас важливі мотивація, залученість, готовність навчатися та знання англійської мови на рівні Intermediate та вище.Про насWelltech — wellness tech компанія з українським корінням, яка будує global apps і масштабує їх через performance marketing.Сьогодні наші продукти — Muscle Booster, Yoga-Go, WalkFit — це про:▪️ 25,5М+ користувачів по всьому світі▪️ топові позиції в health & fitness сегменті▪️ щомісячні мільйонні бюджети в Meta, Google і TikTok▪️ команду 500+ людей у 5 країнахЧому саме Welltech?▪️ Performance-first підхідТут креатив = інструмент, який або приносить результат, або змінюється.▪️ Робота з реальним масштабомPaid-кампанії з великими бюджетами і впливом на ріст продуктів.▪️ Швидке зростанняТут не потрібно «чекати свого часу», ти маєш можливість швидко рости у колі експертів.▪️ БенефітиRemote формат, конкурентна зарплата, мед. страхування, компенсація спорту та англійської, бюджет на навчання і багато іншого.Як це буде:Заповнюй форму та реєструйсяВізьми участь у 1-тижневому інтенсиві з креативного маркетингу (отримай сертифікат за успішне проходження цього етапу)Пройди відбірковий етапВізьми участь у 4-тижневому практичному буткемпіСтвори та презентуй власний проєктОтримай сертифікат за успішне проходження цього етапу та можливість стати частиною команди WelltechЦе не «ще один курс». Це твій шанс зайти в IT-маркетинг через реальну практику, командну роботу та задачі, з якими працюють у Welltech щодня.
",Welltech,English
10,Risk Management Specialist,https://jobs.dou.ua/companies/kpmg/vacancies/360496/?from=first-job,"
KPMG* is an international network of independent firms providing audit, tax, and advisory services. You can learn more about KPMG in Ukraine by following the link. .KPMG in Ukraine is included in the list of the Top 50 Employers according to Forbes (2023–2024) and in the list of the Top 5 Employers for Youth in the Audit and Consulting Sector, based on a student survey conducted by the branding agency UGEN in 2023–2024. In March 2025, KPMG in Ukraine joined the group of leading companies that were among the first to sign the Veteran-Friendly Business Principles. We have also been included in the list of taxpayers with a high level of voluntary compliance with tax legislation (the so-called “White Club”).Why should you join us?Because we offer:Work in teams that create meaningful impact;Access to internal and external learning opportunities that support professional development;Participation in national reconstruction projects;Psychological support services (an increased number of consultations for mobilized employees, veterans, and those waiting for their return);Medical insurance (with an enhanced insurance package for veterans);29 calendar days of annual leave;5 additional paid wellness days;Well-being webinars, yoga classes, a book club, a women’s community, and a blood donors’ community;The possibility to work remotely or from a comfortable office in the city center;Opportunities for charity and volunteering, support for vulnerable groups, care for animals, and a green office approach;Official salary with full tax contributions;Exciting challenges and transparent growth opportunities;Donations and contribution to our joint victory.KPMG Ukraine is looking for Risk Management Specialist (part of the Quality Risk management department team)What you will do:Executing analytical procedures according to KPMG methodologyPerformance and documentation of risk management procedures according to the requirements of the internal System of Quality ManagementProviding consultations to Engagement Teams and Management on risk management procedures and audit independenceCommunication with International teams on risk management procedures and audit independenceThis work is for you if you have:Last year student or university degree (Law or Economic degree is preferable,background in Linguistics is a plus)Good command of spoken and written Ukrainian and EnglishHigh level of responsibility and commitmentAttentiveness to details and orientation on resultGreat multitasking and analytical skillsPC user, MS OfficeKPMG in Ukraine creates a work environment where everyone has opportunities for growth and career development. The company adheres to a zero‑tolerance policy toward any form of discrimination based on age, gender, sexual orientation, or disability. We value diverse perspectives and experiences, as we believe that when people with different backgrounds work together, they generate more creative ideas, develop better solutions, and create innovative products.Accepting a Job Offer means joining KPMG Ukraine’s diverse team, expressing your individuality, and realizing your potential.
",KPMG в Україні,Degree
